"id","country_id","pop_2022","pop_2020","pop_2010","pop_2000","pop_1990","pop_1980","pop_1970"
"null",36,41128771,38972230,28189672,19542982,10694796,12486631,10752971
"null",138,2842321,2866849,2913399,3182021,3295066,2941651,2324731
"null",34,44903225,43451666,35856344,30774621,25518074,18739378,13795915
"null",213,44273,46189,54849,58230,47818,32886,27075
"null",203,79824,77700,71519,66097,53569,35611,19860
"null",42,35588987,33428485,23364185,16394062,11828638,8330047,6029700
"null",224,15857,15585,13172,11047,8316,6560,6283
"null",201,93763,92664,85695,75055,63328,64888,64516
"null",33,45510318,45036032,41100123,37070774,32637657,28024803,23842803
"null",140,2780469,2805608,2946293,3168523,3556539,3135123,2534377
"null",198,106445,106585,100341,89101,65712,62267,59106
"null",55,26177413,25670051,22019168,19017963,17048003,14706322,12595034
"null",99,8939617,8907777,8362829,8010428,7678729,7547561,7465301
"null",91,10358074,10284951,9237202,8190337,7427836,6383060,5425317
"null",176,409984,406471,373272,325014,270679,223752,179129
"null",154,1472233,1477469,1213645,711442,517418,362595,222555
"null",8,171186372,167420951,148391139,129193327,107147651,83929765,67541860
"null",186,281635,280693,274711,264657,258868,253575,241397
"null",96,9534954,9633740,9731427,10256483,10428525,9817257,9170786
"null",81,11655930,11561717,10877947,10264343,9959560,9828986,9629376
"null",177,405272,394921,322106,240406,182589,145133,120905
"null",77,13352864,12643123,9445710,6998023,5133419,3833939,3023443
"null",206,64184,64031,63447,61371,57470,53565,52019
"null",165,782455,772506,705516,587207,558442,415257,298894
"null",80,12224110,11936162,10223270,8592656,7096194,5736088,4585693
"null",137,3233526,3318407,3811088,4179350,4494310,4199820,3815561
"null",144,2630296,2546402,2091664,1726985,1341474,938578,592244
"null",7,215313498,213196304,196353492,175873720,150706446,122288383,96369875
"null",221,31305,30910,27556,20104,15617,11109,9581
"null",175,449002,441725,396053,333926,261928,187921,133343
"null",108,6781953,6979175,7592273,8097691,8767778,8980606,8582950
"null",58,22673762,21522626,16116845,11882888,9131361,6932967,5611666
"null",78,12889576,12220227,9126605,6307659,5483793,4312834,3497834
"null",73,16767842,16396860,14363532,12118841,8910808,6198959,6708525
"null",53,27914536,26491087,19878036,15091594,11430520,8519891,6452787
"null",39,38454327,37888705,33963412,30683313,27657204,24511510,21434577
"null",171,593149,582640,521212,458251,364563,317234,287262
"null",205,68706,67311,54074,39658,26027,17100,10533
"null",117,5579144,5343020,4660067,3759170,2809221,2415276,2067356
"null",69,17723315,16644701,11894727,8259137,5827069,4408230,3667394
"null",65,19603733,19300315,17004162,15351799,13342868,11469828,9820481
"null",1,1425887337,1424929781,1348191368,1264099069,1153704252,982372466,822534450
"null",28,51874024,50930662,44816108,39215135,32601393,26176195,20905254
"null",163,836774,806166,656024,536758,431119,328328,242351
"null",223,17011,17029,17212,15897,17123,17651,20470
"null",124,5180829,5123105,4622252,3979193,3158253,2414303,1855697
"null",130,4030358,4096868,4368682,4548434,4873707,4680144,4492638
"null",85,11212191,11300698,11290417,11105791,10626680,9809107,8869636
"null",189,191163,189288,159380,141424,155446,156851,150385
"null",158,1251488,1237537,1129686,948237,788500,679327,640804
"null",88,10493986,10530953,10464749,10234710,10301192,10270060,9795744
"null",115,5882261,5825641,5550849,5340655,5144623,5125392,4922963
"null",160,1120849,1090156,919199,742033,577173,324121,144379
"null",204,72737,71995,68755,68346,69481,72978,68895
"null",84,11228821,10999664,9775755,8540791,7129004,5755800,4475871
"null",15,99010212,92853164,66391257,48616317,35987541,26708686,20151733
"null",67,18001000,17588595,14989585,12626507,10449837,8135845,6172215
"null",14,110990103,107465134,87252413,71371371,57214630,43748556,34781986
"null",112,6336392,6292731,6114034,5958482,5367179,4508992,3619090
"null",152,1674908,1596049,1094524,684977,465549,282509,316955
"null",132,3684032,3555868,3147727,2392880,2149960,1657982,1272748
"null",156,1326062,1329444,1331535,1396877,1570674,1476983,1361999
"null",159,1201670,1180655,1099920,1030496,854011,598564,442865
"null",12,123379924,117190911,89237791,67031867,47878073,34945469,28308246
"null",231,3780,3747,3187,3080,2332,2240,2274
"null",209,53090,52415,48410,45660,47479,43054,38416
"null",162,929766,920422,905169,832509,780430,644582,527634
"null",118,5540745,5529468,5363271,5176209,4986545,4779418,4606621
"null",23,64626628,64480053,62444567,58665453,56412897,53713830,50523586
"null",184,304557,290969,228453,164351,113931,66825,46484
